Player,year_born,Cluster 1,VORP 1,WS 1,Cluster 2,VORP 2,WS 2,Cluster 3,VORP 3,WS 3,Cluster 4,VORP 4,WS 4,Cluster 5,VORP 5,WS 5,Cluster 6,VORP 6,WS 6,Cluster 7,VORP 7,WS 7,Cluster 8,VORP 8,WS 8,Cluster 9,VORP 9,WS 9,Cluster 10,VORP 10,WS 10,Cluster 11,VORP 11,WS 11,Cluster 12,VORP 12,WS 12,Cluster 13,VORP 13,WS 13,Cluster 14,VORP 14,WS 14,Cluster 15,VORP 15,WS 15,Cluster 16,VORP 16,WS 16,Cluster 17,VORP 17,WS 17,Cluster 18,VORP 18,WS 18,Cluster 19,VORP 19,WS 19,Cluster 20,VORP 20,WS 20,Cluster 21,VORP 21,WS 21
Mark Madsen,1976,,,,,,,0,-0.1,1.1,0,0.3,2.7,0,0.1,0.8,0,-0.2,0.6,0,-0.2,0.4,3,-0.2,-0.3,3,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedric Bozeman,1983,3,-0.3,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarron Collins,1978,,,,0,-0.1,0.7,4,0.4,4.2,0,-0.2,1.1,4,0.6,3.9,0,-0.1,1.3,0,0.0,1.0,3,-0.1,0.2,3,-0.1,0.1,3,-0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Cook,1980,0,0.1,1.1,5,-0.1,2.0,4,0.5,4.5,5,0.0,1.8,5,-0.3,0.4,3,-0.2,0.0,3,-0.2,-0.2,5,-0.2,0.6,3,-0.3,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lou Amundson,1982,3,0.0,0.1,3,-0.1,0.1,4,0.4,1.8,4,0.7,2.9,0,-0.5,0.6,0,-0.1,1.0,3,-0.1,0.1,0,0.0,0.1,0,0.0,0.3,3,-0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronnie Brewer,1985,5,0.3,1.7,8,3.1,7.8,1,2.7,6.8,8,1.4,3.7,8,1.7,5.4,5,1.3,3.9,7,0.3,1.1,3,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Williams,1986,3,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquis Teague,1993,7,-0.5,-0.3,7,-0.8,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georges Niang,1993,3,-0.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jannero Pargo,1979,7,-0.3,0.1,7,-0.3,0.1,7,0.0,0.2,7,-0.4,-0.1,8,0.0,2.0,8,-0.4,1.1,,,,7,-0.8,-0.3,,,,5,0.1,1.3,7,-0.4,-0.2,7,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik Murphy,1990,3,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Przybilla,1979,,,,,,,0,0.1,0.6,3,-0.3,0.1,4,1.5,4.7,4,1.0,2.3,0,0.2,0.3,4,0.3,4.3,4,1.2,6.6,0,0.0,1.4,0,-0.4,0.5,0,-0.4,0.3,3.0,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Quinton Ross,1981,5,0.0,1.7,5,0.0,1.6,5,0.5,3.2,5,-0.5,0.7,5,-0.5,0.6,7,-0.5,-0.1,7,-0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primoz Brezec,1979,,,,3,-0.1,0.1,3,-0.1,0.1,4,1.2,4.9,4,-0.5,4.6,0,-0.6,0.7,3,-0.5,0.2,,,,3,-0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Brown,1978,,,,0,-0.1,1.7,5,0.7,3.7,8,-0.7,1.4,2,1.2,3.5,8,-0.1,2.4,7,-0.7,0.1,5,-0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Voskuhl,1977,,,,,,,0,0.4,2.5,4,0.4,3.3,0,0.0,0.6,0,-0.1,1.0,0,-0.2,1.7,0,-0.3,0.2,3,-0.4,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hassan Adams,1984,0,-0.2,1.0,,,,3,-0.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acie Law,1985,7,-1.0,-0.1,7,-0.4,0.7,7,-0.1,0.6,7,-0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lester Hudson,1984,7,0.0,0.1,7,-0.1,-0.1,7,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ira Newble,1975,,,,,,,5,0.5,3.3,7,-0.6,0.1,5,-0.1,1.9,3,-0.2,0.1,0,0.0,0.5,7,-0.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moochie Norris,1973,,,,,,,,,,,,,,,,,,,8,-0.1,1.7,7,-0.3,0.8,7,-0.4,-0.4,7,-0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Temple,1986,7,-0.1,0.4,7,-0.2,-0.4,,,,7,0.2,1.2,7,-0.3,0.3,5,0.5,1.5,2,0.5,2.7,5,1.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoine Wright,1984,3,-0.7,-0.5,5,-0.4,1.2,5,-0.2,0.8,5,0.1,1.4,5,-0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byron Mullens,1989,3,-0.1,-0.1,3,-0.3,-0.2,4,-1.1,0.2,5,-0.6,0.1,5,-0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Rush,1985,5,-0.7,0.9,2,0.4,2.5,5,0.4,2.6,5,1.2,3.5,,,,7,-0.4,-0.4,3,-0.3,-0.3,5,0.2,2.0,5,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Collins,1978,,,,4,0.7,4.7,4,1.1,4.9,4,0.6,3.9,4,0.0,2.0,0,-0.7,0.6,0,-0.8,0.1,3,-0.3,-0.2,3,-0.1,-0.1,0,-0.3,0.6,3,-0.2,0.2,0,-0.1,0.4,7.0,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Scott Padgett,1976,,,,,,,,,,5,0.5,2.5,0,0.3,1.9,5,0.8,2.8,5,0.4,1.8,3,-0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Babbitt,1989,3,-0.3,-0.4,5,-0.2,0.7,5,-0.3,0.7,5,0.1,0.7,5,0.1,1.6,5,-0.2,1.1,5,0.1,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Bibby,1978,,,,,,,,,,,,,8,1.4,5.6,1,3.1,9.3,1,3.3,8.5,1,2.4,8.4,1,1.4,4.4,8,0.4,2.1,2,2.6,6.9,2,1.0,4.8,2.0,0.8,4.0,7.0,-0.1,0.7,,,,,,,,,,,,,,,,,,,,,
Hilton Armstrong,1984,0,-0.1,1.2,0,-0.2,0.5,0,-0.1,1.5,3,-0.2,-0.1,0,-0.1,0.5,,,,,,,0,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris McCullough,1995,7,0.1,0.3,7,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno Sundov,1980,,,,,,,,,,,,,3,-0.3,-0.4,,,,3,-0.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.J. Augustin,1987,8,0.6,5.1,8,-0.2,2.8,1,1.1,6.2,8,-0.6,0.5,5,0.0,2.8,8,1.2,6.2,8,-0.3,3.4,8,0.1,2.6,8,-0.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
